	sentence1	sentence2	label	primary_key	mapping
0	"(""jane knocked on susan's door but she didn't reply"", 21)"	"(""susan didn't answer"", 15)"	1	1	1
1	"(""jane knocked on susan's door but she didn't reply"", 21)"	"(""susan didn't answer"", 15)"	1	1	1
2	"(""Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten."", 0)"	('Sally stopped and counted to ten.', 0)	0	2	2
3	"(""no one joins facebook because they are lonely or lonely but a new study by psychologist george lincoln from the university of wisconsin argues that that's what it makes us feel"", 95)"	('facebook makes us feel exactly like that', 42)	1	3	3
4	"(""no one joins facebook because they are lonely or lonely but a new study by psychologist george lincoln from the university of wisconsin argues that that's what it makes us feel"", 95)"	('facebook makes us feel exactly like that', 42)	1	3	3
5	"(""no one joins facebook because they are lonely or lonely but a new study by psychologist george lincoln from the university of wisconsin argues that that's what it makes us feel"", 95)"	('facebook makes us feel exactly like that', 42)	1	3	3
6	"(""no one joins facebook because they are lonely or lonely but a new study by psychologist george lincoln from the university of wisconsin argues that that's what it makes us feel"", 95)"	('facebook makes us feel exactly like that', 42)	1	3	3
7	"(""no one joins facebook because they are lonely or lonely but a new study by psychologist george lincoln from the university of wisconsin argues that that's what it makes us feel"", 95)"	('facebook makes us feel exactly like that', 42)	1	3	3
8	"(""no one joins facebook because they are lonely or lonely but a new study by psychologist george lincoln from the university of wisconsin argues that that's what it makes us feel"", 95)"	('facebook makes us feel exactly like that', 42)	1	3	3
9	"(""no one joins facebook because they are lonely or lonely but a new study by psychologist george lincoln from the university of wisconsin argues that that's what it makes us feel"", 95)"	('facebook makes us feel exactly like that', 42)	1	3	3
10	"(""susan knew ann's son had been in a car accident and told her of the accident"", 36)"	('ann told her', 22)	0	5	5
11	('when tommy dropped his ice cream timmy giggled and the father looked at him with a scorn', 37)	('father showed timmy a tough look', 23)	1	6	6
12	('when tommy dropped his ice cream timmy giggled and the father looked at him with a scorn', 37)	('father showed timmy a tough look', 23)	1	6	6
13	"(""i can't see between me and the stage"", 52)"	"(""i can't see around the pillar"", 13)"	1	7	7
14	('Look! There is a minnow swimming right below that duck! It had better get away to safety fast!', 0)	('the duck should go to safety quickly', 36)	0	8	8
15	('Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.', 0)	('Anyone who knew that he was 19 years old could take his claim away from anyone.', 0)	0	9	9
16	('when the sponsors of the bill arrived at town hall they were surprised to find the room full of opponents', 69)	('the sponsors were extremely popular', 34)	0	10	10
17	('when the sponsors of the bill arrived at town hall they were surprised to find the room full of opponents', 69)	('the sponsors were extremely popular', 34)	0	10	10
18	('the big ball hit the table because it was made of styrofoam', 35)	('the ball was made of styrofoam', 19)	0	12	12
19	('i tried to paint a picture of an orchard with lemons in the lemon trees but they looked more like bulb lights', 35)	('the lemons appeared to me more like light bulbs', 31)	0	13	13
20	('i tried to paint a picture of an orchard with lemons in the lemon trees but they looked more like bulb lights', 35)	('the lemons appeared to me more like light bulbs', 31)	0	13	13
21	('i tried to paint a picture of an orchard with lemons in the lemon trees but they looked more like bulb lights', 35)	('the lemons appeared to me more like light bulbs', 31)	0	13	13
22	('i tried to paint a picture of an orchard with lemons in the lemon trees but they looked more like bulb lights', 35)	('the lemons appeared to me more like light bulbs', 31)	0	13	13
23	('i tried to paint a picture of an orchard with lemons in the lemon trees but they looked more like bulb lights', 35)	('the lemons appeared to me more like light bulbs', 31)	0	13	13
24	('i tried to paint a picture of an orchard with lemons in the lemon trees but they looked more like bulb lights', 35)	('the lemons appeared to me more like light bulbs', 31)	0	13	13
25	"(""if the con artist could fool sam he'd get a lot of money"", 44)"	('sam would have been rich', 31)	0	15	15
26	('the lawyer asked the witness a question but he was unwilling to repeat it', 21)	('the attorney had been reluctant to repeat it', 23)	1	16	16
27	('the lawyer asked the witness a question but he was unwilling to repeat it', 21)	('the attorney had been reluctant to repeat it', 23)	1	16	16
28	('the lawyer asked the witness a question but he was unwilling to repeat it', 21)	('the attorney had been reluctant to repeat it', 23)	1	16	16
29	('everyone loved the oatmeal cookies only a few people liked the chocolate chip cookies', 60)	('we should reduce our oatmeal cookies', 26)	0	17	17
30	('everyone loved the oatmeal cookies only a few people liked the chocolate chip cookies', 60)	('we should reduce our oatmeal cookies', 26)	0	17	17
31	('Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.', 0)	('carl was very sick', 16)	0	18	18
32	"(""moncrieff visited chester's luxury apartment in new york thinking that it belonged to his son edward the result is that mr moncrieff has decided to cancel edward's allowance on the ground that he no longer needs"", 71)"	"(""he does not require chester's financial support anymore"", 28)"	0	19	19
33	"(""moncrieff visited chester's luxury apartment in new york thinking that it belonged to his son edward the result is that mr moncrieff has decided to cancel edward's allowance on the ground that he no longer needs"", 71)"	"(""he does not require chester's financial support anymore"", 28)"	0	19	19
34	"(""moncrieff visited chester's luxury apartment in new york thinking that it belonged to his son edward the result is that mr moncrieff has decided to cancel edward's allowance on the ground that he no longer needs"", 71)"	"(""he does not require chester's financial support anymore"", 28)"	0	19	19
35	"('Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana\'s small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: ""There\'s plenty.""', 0)"	"(""grandma gathered tatyana's small mother into a wide scrawny embrace and then lifted tatyana to the table"", 20)"	0	20	20
