	text	label	primary_key	mapping
0	('@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.', 0)	2	0	0
1	('Reading my kindle2...  Love it... Lee childs is good read.', 0)	2	1	1
2	('Ok, first assesment of the #kindle2 ...it fucking rocks!!!', 0)	2	2	2
3	"(""@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)"", 0)"	2	3	3
4	"(""but i have a kindle2 and i think it's perfect "", 40)"	2	4	4
5	"(""but i have a kindle2 and i think it's perfect "", 40)"	2	4	4
6	"(""but i have a kindle2 and i think it's perfect "", 40)"	2	4	4
7	('i hate the aig and their non-financial lending', 46)	0	6	6
8	('i hate the aig and their non-financial lending', 46)	0	6	6
9	('Jquery is my new best friend.', 0)	2	7	7
10	('how can we not love obama?', 45)	2	9	9
11	('how can we not love obama?', 45)	2	9	9
12	"(""Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM"", 0)"	1	10	10
13	"(""@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism"", 0)"	0	11	11
14	('House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation', 0)	2	12	12
15	('Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!', 0)	2	13	13
16	('dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x', 0)	0	14	14
17	"(""i was talking with this guy last night and he told me he's a major spurs fan and that he hates lebron james"", 54)"	0	16	16
18	"(""i was talking with this guy last night and he told me he's a major spurs fan and that he hates lebron james"", 54)"	0	16	16
19	"(""i was talking with this guy last night and he told me he's a major spurs fan and that he hates lebron james"", 54)"	0	16	16
20	"(""i was talking with this guy last night and he told me he's a major spurs fan and that he hates lebron james"", 54)"	0	16	16
21	"(""i was talking with this guy last night and he told me he's a major spurs fan and that he hates lebron james"", 54)"	0	16	16
22	"(""i was talking with this guy last night and he told me he's a major spurs fan and that he hates lebron james"", 54)"	0	16	16
23	"(""i was talking with this guy last night and he told me he's a major spurs fan and that he hates lebron james"", 54)"	0	16	16
24	"(""i was talking with this guy last night and he told me he's a major spurs fan and that he hates lebron james"", 54)"	0	16	16
25	"(""i was talking with this guy last night and he told me he's a major spurs fan and that he hates lebron james"", 54)"	0	16	16
26	"(""@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."", 0)"	0	18	18
27	('pmillzz lebron is the boss', 12)	2	19	19
28	"(""@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol"", 0)"	2	20	20
29	('lebron is a beast nobody in the nba even comes close', 36)	2	22	22
30	('lebron is a beast nobody in the nba even comes close', 36)	2	22	22
31	('downloading apps for iphones is so much fun', 70)	2	23	23
32	('downloading apps for iphones is so much fun', 70)	2	23	23
33	('downloading apps for iphones is so much fun', 70)	2	23	23
34	('downloading apps for iphones is so much fun', 70)	2	23	23
35	('downloading apps for iphones is so much fun', 70)	2	23	23
36	('downloading apps for iphones is so much fun', 70)	2	23	23
37	('downloading apps for iphones is so much fun', 70)	2	23	23
38	('good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!', 0)	2	24	24
39	('In montreal for a long weekend of R&amp;R. Much needed.', 0)	2	26	26
40	('booz allen hamilton has a bad ass homegrown social collaboration platform', 28)	2	27	27
41	('[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP', 0)	2	28	28
42	('@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.', 0)	2	29	29
43	('tell me the best ir filter for canon 40d?', 55)	1	30	30
44	('tell me the best ir filter for canon 40d?', 55)	1	30	30
45	('tell me the best ir filter for canon 40d?', 55)	1	30	30
46	('tell me the best ir filter for canon 40d?', 55)	1	30	30
47	('@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv', 0)	1	31	31
48	"(""@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT."", 0)"	2	32	32
